candidate_id,rank,score,reasoning
CAND_0071974,1,0.58624,"7.8yr Senior AI Engineer from Netflix and Meta with strong Elasticsearch, Qdrant, Weaviate depth (active 2mo ago, 45d notice, 76% response rate) — matches the product-company background and retrieval/ranking core the JD requires"
CAND_0018499,2,0.561846,"7.2yr Senior Machine Learning Engineer from Zomato and Google with strong RAG, scikit-learn, Weaviate depth (active 6w ago, 15d notice, 61% response rate) — matches the product-company background and retrieval/ranking core the JD requires"
CAND_0081846,3,0.542082,"6.7yr Lead AI Engineer from Razorpay and Paytm with strong Embeddings, Information Retrieval, Vector Search depth (active 8w ago, 30d notice, 73% response rate) — matches the product-company background and retrieval/ranking core the JD requires"
CAND_0041669,4,0.533184,"8.0yr Recommendation Systems Engineer from CRED and Mad Street Den with strong Semantic Search, Milvus, Weights & Biases depth (active 2mo ago, 60d notice, 77% response rate) — matches the product-company background and retrieval/ranking core the JD requires"
CAND_0086022,5,0.5329,"5.3yr Senior Applied Scientist from Sarvam AI and Uber with strong PyTorch, Sentence Transformers, pgvector depth (90d notice, 55% response rate) — matches the product-company background and retrieval/ranking core the JD requires"
CAND_0044855,6,0.526682,"6.6yr Senior Data Scientist from Flipkart and LinkedIn with strong Information Retrieval, Learning to Rank, OpenSearch depth (active 2mo ago, 60d notice, 57% response rate) — matches the product-company background and retrieval/ranking core the JD requires; not currently marked open-to-work."
CAND_0011162,7,0.522993,"5.8yr Recommendation Systems Engineer from upGrad and Meesho with strong FAISS, OpenSearch, LangChain depth (90d notice, 75% response rate) — matches the product-company background and retrieval/ranking core the JD requires"
CAND_0006557,8,0.519662,"7.9yr NLP Engineer from Paytm and Apple with strong Vector Search, FAISS, Hugging Face Transformers depth (120d notice, 63% response rate) — matches the product-company background and retrieval/ranking core the JD requires; notice period (120d) is the main friction."
CAND_0002025,9,0.519009,"5.9yr Senior AI Engineer from Apple and Aganitha with strong FAISS, TensorFlow, LangChain depth (active 4w ago, 30d notice, 80% response rate) — matches the product-company background and retrieval/ranking core the JD requires"
CAND_0066999,10,0.513561,"5.9yr Recommendation Systems Engineer from Microsoft and Amazon with strong LLMs, Machine Learning, CNN depth (active 2mo ago, 15d notice, 63% response rate) — matches the product-company background and retrieval/ranking core the JD requires"
CAND_0008425,11,0.508361,"7.8yr Senior NLP Engineer with relevant Sentence Transformers, Haystack, Qdrant experience at Ola and Zomato; solid retrieval/ranking signal but recruiter response rate (66%) is a mild concern."
CAND_0006418,12,0.503587,"5.7yr Machine Learning Engineer with relevant Weaviate, Embeddings, Semantic Search experience at Verloop.io and Flipkart; solid retrieval/ranking signal but recruiter response rate (92%) is a mild concern."
CAND_0028793,13,0.501143,"7.2yr Search Engineer with relevant LoRA, Embeddings, Learning to Rank experience at Google and Amazon; solid retrieval/ranking signal but long notice period (120d)."
CAND_0099806,14,0.500996,"4.6yr AI Engineer with relevant Prompt Engineering, Embeddings, Qdrant experience at Mad Street Den and upGrad; solid retrieval/ranking signal but recruiter response rate (76%) is a mild concern."
CAND_0046064,15,0.498814,"8.9yr Senior NLP Engineer with relevant PEFT, Pinecone, Elasticsearch experience at Salesforce and Verloop.io; solid retrieval/ranking signal but recruiter response rate (78%) is a mild concern."
CAND_0020877,16,0.498221,"5.1yr Applied ML Engineer with relevant scikit-learn, LlamaIndex, Deep Learning experience at CRED and BYJU'S; solid retrieval/ranking signal but recruiter response rate (66%) is a mild concern."
CAND_0052328,17,0.496361,"6.5yr Recommendation Systems Engineer with relevant scikit-learn, Sentence Transformers, QLoRA experience at Amazon and Observe.AI; solid retrieval/ranking signal but recruiter response rate (79%) is a mild concern."
CAND_0077285,18,0.496123,"5.5yr Recommendation Systems Engineer with relevant Fine-tuning LLMs, LoRA, Sentence Transformers experience at Nykaa and Netflix; solid retrieval/ranking signal but recruiter response rate (56%) is a mild concern."
CAND_0086151,19,0.495704,"7.7yr Recommendation Systems Engineer with relevant Qdrant, Elasticsearch, Statistical Modeling experience at Wysa and Glance; solid retrieval/ranking signal but long notice period (120d)."
CAND_0080766,20,0.495522,"8.8yr Staff Machine Learning Engineer with relevant TensorFlow, Search & Discovery, LoRA experience at Salesforce and Aganitha; solid retrieval/ranking signal but recruiter response rate (66%) is a mild concern."
CAND_0061265,21,0.494298,"6.6yr Recommendation Systems Engineer with relevant Learning to Rank, Qdrant, Hugging Face Transformers experience at Zoho and Observe.AI; solid retrieval/ranking signal but long notice period (120d)."
CAND_0079387,22,0.49414,"6.9yr AI Engineer with relevant OpenSearch, LoRA, Vector Search experience at Microsoft and upGrad; solid retrieval/ranking signal but recruiter response rate (81%) is a mild concern."
CAND_0037944,23,0.491617,"4.9yr Senior Data Scientist with relevant Python, OpenSearch, LlamaIndex experience at Vedantu and PolicyBazaar; solid retrieval/ranking signal but inactive for 98d."
CAND_0049538,24,0.490678,"5.8yr Applied ML Engineer with relevant Elasticsearch, Milvus, OpenSearch experience at Saarthi.ai and PolicyBazaar; solid retrieval/ranking signal but recruiter response rate (72%) is a mild concern."
